experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,2300.0,280.07464963868205,4673,3473,2937,4912,3756,3446,105.60519860979328,83.39032162507637,75.03282977576455,2208.531203158108,2287.8424011115467,2342.9286698118626,2343.698608626958,2379.828940545179,2416.157030947415,2141.034767146262,2323.726764228481,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2400.0,280.07610390893177,4673,3473,2937,4912,3756,3446,105.60381479789348,83.39065001136856,75.03193867749209,2208.5285479674385,2287.8425298405423,2342.9262301373547,2343.6937119862173,2379.8296341828272,2416.152938048424,2141.033005464969,2323.72372619098,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2500.0,280.0775363655605,4673,3473,2937,4912,3756,3446,105.60260422825996,83.39078971829333,75.03117710876884,2208.526163866443,2287.842367964237,2342.924080261484,2343.689370375862,2379.829743568044,2416.149376022299,2141.031282572527,2323.720754966994,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2600.0,280.0788333673541,4673,3474,2937,4912,3757,3446,105.60154809228035,83.39242114201271,75.03061734713772,2208.524097391374,2287.844912377293,2342.922374666632,2343.685595590208,2379.835239137272,2416.146640105447,2141.030146149915,2323.718585413673,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2700.0,280.0801625800726,4672,3473,2937,4911,3756,3446,105.6005642282357,83.39081541468101,75.0300224953569,2208.522106397563,2287.841605743198,2342.9206179528787,2343.68201565958,2379.829036106784,2416.1437821511668,2141.028288019098,2323.715508851777,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2800.0,280.0817619091843,4672,3473,2937,4911,3756,3445,105.59960079693316,83.38631563660887,75.02916373971847,2208.5199289473053,2287.8330256308195,2342.9183320461243,2343.6782916045963,2379.812371217864,2416.1398920785878,2141.0252945907537,2323.7108862004407,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2900.0,280.08351501641056,4672,3473,2937,4911,3756,3445,105.5991886068398,83.38289446354871,75.02816723036351,2208.5185338084248,2287.826347151505,2342.915762795285,2343.676261813881,2379.799591438797,2416.135459315314,2141.022375334674,2323.7062732099425,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3000.0,280.0853526123062,4672,3473,2937,4911,3756,3445,105.5989818572428,83.38031816232433,75.02710679413934,2208.5174048525555,2287.8211149821664,2342.913056674007,2343.6748328687345,2379.7897745192136,2416.1307699577133,2141.019589194802,2323.701775538468,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3100.0,280.0872439165445,4672,3473,2937,4911,3756,3445,105.59859151273356,83.3783269175601,75.02602844839288,2208.515933706013,2287.816873276237,2342.9103024438264,2343.6727592502657,2379.781997446543,2416.1259997782145,2141.016843704377,2323.6972956681275,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3200.0,280.08916555724954,4672,3473,2937,4911,3756,3445,105.59805700006596,83.37673783544984,75.02496016877792,2208.5142101166857,2287.813307008809,2342.907555095449,2343.6701988991576,2379.775617365293,2416.1212565954165,2141.014150400792,2323.69286100453,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3300.0,280.09095680685857,4672,3473,2937,4911,3756,3445,105.59744701354182,83.37543505911374,75.02480326374896,2208.5124545234416,2287.8102563438383,2342.90656916058,2343.6674799121947,2379.77026514112,2416.120018934976,2141.0122068514247,2323.6894266669638,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,3400.0,280.09269037763914,4672,3472,2937,4911,3756,3445,105.59677563455811,83.37433026317645,75.02421462924626,2208.5106295025985,2287.807561557225,2342.9047477795507,2343.664590034037,2379.7656229605764,2416.117106186235,2141.0100523091432,2323.685762830204,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
