,Ocean DIC [1 mol],Ocean DIC [1.0 mol/l],Ocean C^{12$S,Ocean C^{13}$S ,Ocean $\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean DIC [1.0 mol/a],Fossil_Fuel_Burning_to_Ocean DIC [C^{12$S],Fossil_Fuel_Burning_to_Ocean DIC [C^{13}$S],Fossil_Fuel_Burning_to_Ocean DIC $\delta^{13}$C [VPDB],Carbonate_Weathering_to_Ocean DIC [1.0 mol/a],Carbonate_Weathering_to_Ocean DIC [C^{12$S],Carbonate_Weathering_to_Ocean DIC [C^{13}$S],Carbonate_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Organic_Weathering_to_Ocean DIC [1.0 mol/a],Organic_Weathering_to_Ocean DIC [C^{12$S],Organic_Weathering_to_Ocean DIC [C^{13}$S],Organic_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Volcanic_to_Ocean DIC [1.0 mol/a],Volcanic_to_Ocean DIC [C^{12$S],Volcanic_to_Ocean DIC [C^{13}$S],Volcanic_to_Ocean DIC $\delta^{13}$C [VPDB],Ocean_to_OM_burial DIC [1.0 mol/a],Ocean_to_OM_burial DIC [C^{12$S],Ocean_to_OM_burial DIC [C^{13}$S],Ocean_to_OM_burial DIC $\delta^{13}$C [VPDB],Ocean_to_Carbonate_burial DIC [1.0 mol/a],Ocean_to_Carbonate_burial DIC [C^{12$S],Ocean_to_Carbonate_burial DIC [C^{13}$S],Ocean_to_Carbonate_burial DIC $\delta^{13}$C [VPDB]
26,3.508057e+18,0.002633676426426427,3.4690030398936387e+18,3.90539601063623e+16,1.849042290793,892000000000000.0,882352537705585.8,9647462294414.168,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154457599581.452,45542400418.547554,-24.463606345362,18100000000000.0,17898497627861.39,201502372138.60803,1.856393654638
27,3.508976e+18,0.002634366366366367,3.4699121008587766e+18,3.906389914122417e+16,1.841472717331,919000000000000.0,909060518106988.0,9939481893011.906,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154457939054.6064,45542060945.39347,-24.470957709207,18100000000000.0,17898499089973.41,201500910026.59232,1.849042290793
28,3.509922e+18,0.002635076576576577,3.470847869802461e+18,3.907413019753969e+16,1.833685281837,946000000000000.0,935768498508390.2,10231501491609.645,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154458288604.358,45541711395.642075,-24.478527282669,18100000000000.0,17898500595485.363,201499404514.63818,1.841472717331
29,3.510895e+18,0.0026358070570570574,3.4718103467246387e+18,3.9084653275362264e+16,1.825680341579,973000000000000.0,962476478909792.6,10523521090207.383,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154458648214.661,45541351785.339165,-24.486314718163,18100000000000.0,17898502144328.145,201497855671.85492,1.833685281837
30,3.511895e+18,0.0026365578078078084,3.472799531625256e+18,3.909546837474519e+16,1.817458263469,1000000000000000.0,989184459311194.9,10815540688805.121,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154459017869.0225,45540982130.97753,-24.494319658421,18100000000000.0,17898503736430.723,201496263569.2771,1.825680341579
31,3.5129116666666665e+18,0.0026373210710710715,3.4738052029315133e+18,3.910646373515457e+16,1.809104193742,1016666666666666.6,1005670866966381.4,10995799700285.205,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154459397550.505,45540602449.49518,-24.502541736531,18100000000000.0,17898505371720.145,201494628279.85672,1.817458263469
32,3.513945e+18,0.0026380968468468474,3.4748273606433787e+18,3.9117639356622744e+16,1.800618366744,1033333333333333.4,1022157274621568.0,11176058711765.293,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154459783327.205,45540216672.79498,-24.510895806258,18100000000000.0,17898507033261.688,201492966738.31274,1.809104193742
33,3.514995e+18,0.002638885135135136,3.475866004760819e+18,3.912899523918201e+16,1.792001020298,1050000000000000.0,1038643682276754.6,11356317723245.377,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154460175188.3047,45539824811.69525,-24.519381633256,18100000000000.0,17898508721008.758,201491278991.23953,1.800618366744
34,3.5160616666666665e+18,0.0026396859359359365,3.476921135283803e+18,3.914053138286459e+16,1.783252395684,1066666666666666.6,1055130089931941.1,11536576734725.46,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154460573122.825,45539426877.174805,-24.527998979702,18100000000000.0,17898510434914.08,201489565085.923,1.792001020298
35,3.517145e+18,0.00264049924924925,3.477992752212298e+18,3.915224778770267e+16,1.774372737625,1083333333333333.4,1071616497587127.8,11716835746205.549,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154460977119.628,45539022880.372055,-24.536747604316,18100000000000.0,17898512174929.664,201487825070.33636,1.783252395684
