,Ocean_DIC_[mmol],Ocean_C^{12$S,Ocean_C^{13}$S ,Ocean_$\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean_DIC_[mmol/yr],Fossil_Fuel_Burning_to_Ocean_DIC_C^{12$S,Fossil_Fuel_Burning_to_Ocean_DIC_C^{13}$S,"Fossil_Fuel_Burning_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Carbonate_Weathering_to_Ocean_DIC_[mmol/yr],Carbonate_Weathering_to_Ocean_DIC_C^{12$S,Carbonate_Weathering_to_Ocean_DIC_C^{13}$S,"Carbonate_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Organic_Weathering_to_Ocean_DIC_[mmol/yr],Organic_Weathering_to_Ocean_DIC_C^{12$S,Organic_Weathering_to_Ocean_DIC_C^{13}$S,"Organic_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Volcanic_to_Ocean_DIC_[mmol/yr],Volcanic_to_Ocean_DIC_C^{12$S,Volcanic_to_Ocean_DIC_C^{13}$S,"Volcanic_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_OM_burial_DIC_[mmol/yr],Ocean_to_OM_burial_DIC_C^{12$S,Ocean_to_OM_burial_DIC_C^{13}$S,"Ocean_to_OM_burial_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_Carbonate_burial_DIC_[mmol/yr],Ocean_to_Carbonate_burial_DIC_C^{12$S,Ocean_to_Carbonate_burial_DIC_C^{13}$S,"Ocean_to_Carbonate_burial_DIC_$\delta^{13}$C, [VPDB]"
27,3.508976e+18,3.469988784927822e+18,3.898721507217727e+16,-0.14728048632467972,919000000000000.0,909060518106988.0,9939481893011.906,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154549802869.8374,45450197130.16251,-26.46024414944822,18100000000000.0,17898866853395.027,201133146604.9706,0.0
28,3.509922e+18,3.4709245534134093e+18,3.899744658658991e+16,-0.1545197005081168,946000000000000.0,935768498508390.2,10231501491609.645,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154550127810.0176,45449872189.98238,-26.46728048632468,18100000000000.0,17898866853395.027,201133146604.9706,0.0
29,3.510895e+18,3.4718870298790636e+18,3.900797012093546e+16,-0.16196146064692601,973000000000000.0,962476478909792.6,10523521090207.383,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154550462119.1865,45449537880.81338,-26.474519700508118,18100000000000.0,17898866853395.027,201133146604.9706,0.0
30,3.511895e+18,3.472876214324776e+18,3.901878567522326e+16,-0.16960542640605875,1000000000000000.0,989184459311194.9,10815540688805.121,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154550805782.0474,45449194217.9529,-26.481961460646925,18100000000000.0,17898866853395.027,201133146604.9706,0.0
31,3.5129116666666665e+18,3.4738818851777905e+18,3.902978148887555e+16,-0.1773723256626946,1016666666666666.6,1005670866966381.4,10995799700285.205,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154551158782.8867,45448841217.11309,-26.489605426406058,18100000000000.0,17898866853395.027,201133146604.9706,0.0
32,3.513945e+18,3.4749040424381015e+18,3.9040957561898e+16,-0.18526194098715618,1033333333333333.4,1022157274621568.0,11176058711765.293,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154551517460.8975,45448482539.1027,-26.497372325662695,18100000000000.0,17898866853395.027,201133146604.9706,0.0
33,3.514995e+18,3.4759426861057034e+18,3.905231389429627e+16,-0.19327405171132345,1050000000000000.0,1038643682276754.6,11356317723245.377,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154551881806.04,45448118193.95977,-26.505261940987157,18100000000000.0,17898866853395.027,201133146604.9706,0.0
34,3.5160616666666665e+18,3.4769978161805906e+18,3.9063850486076024e+16,-0.2014084339442252,1066666666666666.6,1055130089931941.1,11536576734725.46,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154552251808.1284,45447748191.87183,-26.513274051711324,18100000000000.0,17898866853395.027,201133146604.9706,0.0
35,3.517145e+18,3.478069432662757e+18,3.9075567337242904e+16,-0.20966486058670472,1083333333333333.4,1071616497587127.8,11716835746205.549,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154552627456.8247,45447372543.17526,-26.52140843394407,18100000000000.0,17898866853395.027,201133146604.9706,0.0
36,3.518245e+18,3.479157535552197e+18,3.908746444780255e+16,-0.21804310134824628,1100000000000000.0,1088102905242314.2,11897094757685.633,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154553008741.6455,45446991258.35449,-26.529664860586706,18100000000000.0,17898866853395.027,201133146604.9706,0.0
