Ocean Time [a],Ocean DIC [mol],Ocean C^{12}$S [mol],Ocean C^{13}$S [mol],Ocean $\delta^{13}$C [[DIC]],Ocean DIC [mol/l],Fossil_Fuel_Burning_2_Ocean_Flux DIC [mol/a],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{12}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{13}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Carbonate_Weathering_2_Ocean_Flux DIC [mol/a],Carbonate_Weathering_2_Ocean_Flux DIC [C^{12}$S],Carbonate_Weathering_2_Ocean_Flux DIC [C^{13}$S],Carbonate_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Organic_Weathering_2_Ocean_Flux DIC [mol/a],Organic_Weathering_2_Ocean_Flux DIC [C^{12}$S],Organic_Weathering_2_Ocean_Flux DIC [C^{13}$S],Organic_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Volcanic_2_Ocean_Flux DIC [mol/a],Volcanic_2_Ocean_Flux DIC [C^{12}$S],Volcanic_2_Ocean_Flux DIC [C^{13}$S],Volcanic_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_OM_burial_Flux DIC [mol/a],Ocean_2_OM_burial_Flux DIC [C^{12}$S],Ocean_2_OM_burial_Flux DIC [C^{13}$S],Ocean_2_OM_burial_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_Carbonate_burial_Flux DIC [mol/a],Ocean_2_Carbonate_burial_Flux DIC [C^{12}$S],Ocean_2_Carbonate_burial_Flux DIC [C^{13}$S],Ocean_2_Carbonate_burial_Flux DIC $\delta^{13}$C [[DIC]]
27,3.4632074166666675e+18,3.4246470218867476e+18,3.8560394779918904e+16,1.999594073343805,0.0026000055680680694,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453416471.756,45546583528.24414,-24.37302011051823,18100000000000.0,17898469143701.19,201530856298.8086,1.9996096145283018
28,3.463207750000001e+18,3.424647352100062e+18,3.8560397899937736e+16,1.999578532270611,0.0026000058183183196,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453417170.5293,45546582829.4707,-24.373035242638377,18100000000000.0,17898469146792.16,201530853207.83984,1.999594073372827
29,3.4632080833333345e+18,3.4246476823133727e+18,3.856040101996035e+16,1.9995629913000754,0.00260000606856857,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453417869.2993,45546582130.70068,-24.37305037468442,18100000000000.0,17898469149883.113,201530850116.88672,1.9995785322960826
30,3.463208500000001e+18,3.424648094959634e+18,3.856040504036552e+16,1.9995467283284656,0.002600006381381383,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453418568.063,45546581431.93701,-24.37306550659308,18100000000000.0,17898469152974.043,201530847025.95703,1.9995629913369708
31,3.4632089166666675e+18,3.4246485076058916e+18,3.856040906077466e+16,1.9995304654647628,0.0026000066941941954,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453419299.2905,45546580700.70947,-24.373081341515203,18100000000000.0,17898469156208.574,201530843791.42578,1.9995467283602666
32,3.463209333333334e+18,3.424648920252145e+18,3.856041308118775e+16,1.999514202709121,0.002600007007007008,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453420030.5137,45546579969.48633,-24.373097176342235,18100000000000.0,17898469159443.082,201530840556.91797,1.9995304655013493
33,3.4632097500000005e+18,3.4246493328983946e+18,3.856041710160482e+16,1.9994979400616952,0.002600007319819821,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453420761.7324,45546579238.26758,-24.373113011073862,18100000000000.0,17898469162677.57,201530837322.4297,1.9995142027407677
34,3.463210166666667e+18,3.4246497455446405e+18,3.856042112202585e+16,1.9994816775224848,0.0026000076326326334,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453421492.9463,45546578507.05371,-24.3731288456999,18100000000000.0,17898469165912.04,201530834087.96094,1.9994979400782131
35,3.4632105833333335e+18,3.4246501581908823e+18,3.856042514245085e+16,1.999465415091336,0.002600007945445446,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453422224.155,45546577775.845215,-24.37314468020969,18100000000000.0,17898469169146.484,201530830853.51562,1.9994816775335997
36,3.463211e+18,3.42465057083712e+18,3.856042916287981e+16,1.9994491527682483,0.002600008258258259,416666666666.66705,412164772864.63043,4501893802.036621,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453422955.3584,45546577044.6416,-24.373160514613584,18100000000000.0,17898469172380.906,201530827619.09375,1.9994654151069278
