Elevation [yr],CumSum [dimensionless],CumSum [dimensionless]
820,0.911285026453229,0.911285026453229
830,0.912116350096375,0.912116350096375
840,0.912935511223662,0.912935511223662
850,0.913735743851239,0.913735743851239
860,0.914522115296627,0.914522115296627
870,0.915325722251709,0.915325722251709
880,0.91612916109368,0.91612916109368
890,0.91690300032502,0.91690300032502
900,0.917721563745493,0.917721563745493
910,0.918516639844681,0.918516639844681
920,0.919319042080177,0.919319042080177
930,0.920128842879734,0.920128842879734
940,0.920952205941868,0.920952205941868
950,0.921764634884647,0.921764634884647
960,0.922527386411582,0.922527386411582
970,0.923308795773112,0.923308795773112
980,0.924079614772111,0.924079614772111
990,0.924856762166899,0.924856762166899
1000,0.925625513498573,0.925625513498573
1010,0.926381703060533,0.926381703060533
1020,0.927144712390377,0.927144712390377
1030,0.927923264979731,0.927923264979731
1040,0.928697025794837,0.928697025794837
1050,0.929456015104449,0.929456015104449
1060,0.930207043914011,0.930207043914011
1070,0.930990993382722,0.930990993382722
1080,0.931767695101066,0.931767695101066
1090,0.93252722462502,0.93252722462502
1100,0.933289965781925,0.933289965781925
1110,0.934021985100445,0.934021985100445
1120,0.934761807598126,0.934761807598126
1130,0.935606000766682,0.935606000766682
1140,0.936325416629928,0.936325416629928
1150,0.937042858555087,0.937042858555087
1160,0.937746320460751,0.937746320460751
1170,0.938435964902468,0.938435964902468
1180,0.939095276440276,0.939095276440276
1190,0.939765913447362,0.939765913447362
1200,0.940429585842898,0.940429585842898
1210,0.941088680205549,0.941088680205549
1220,0.941713879202841,0.941713879202841
1230,0.942294879052455,0.942294879052455
1240,0.942881374983006,0.942881374983006
1250,0.943447584080787,0.943447584080787
1260,0.944031765481432,0.944031765481432
1270,0.944585354419933,0.944585354419933
1280,0.945155871415322,0.945155871415322
1290,0.945707636179271,0.945707636179271
1300,0.946229761307081,0.946229761307081
1310,0.946745883385805,0.946745883385805
1320,0.947268820970194,0.947268820970194
1330,0.947764874762752,0.947764874762752
1340,0.948279137959858,0.948279137959858
1350,0.948771530728233,0.948771530728233
1360,0.949253340057097,0.949253340057097
1370,0.949717502175512,0.949717502175512
1380,0.950178612182622,0.950178612182622
1390,0.950645420612977,0.950645420612977
1400,0.951092385159259,0.951092385159259
1410,0.951530995471122,0.951530995471122
1420,0.951968688822448,0.951968688822448
1430,0.952384035252531,0.952384035252531
1440,0.95279199197604,0.95279199197604
1450,0.95319478912634,0.95319478912634
1460,0.953597076791364,0.953597076791364
1470,0.953996557758266,0.953996557758266
1480,0.954385855728589,0.954385855728589
1490,0.954765023692308,0.954765023692308
1500,0.955133418920988,0.955133418920988
1510,0.955502898517205,0.955502898517205
1520,0.955864236307998,0.955864236307998
1530,0.956226597840352,0.956226597840352
1540,0.95656704289377,0.95656704289377
1550,0.956905617897447,0.956905617897447
1560,0.957247729753066,0.957247729753066
1570,0.957584149210989,0.957584149210989
1580,0.957907539803513,0.957907539803513
1590,0.958230606941783,0.958230606941783
1600,0.958548560440971,0.958548560440971
1610,0.958862221552852,0.958862221552852
1620,0.959158055224462,0.959158055224462
1630,0.959452486293045,0.959452486293045
1640,0.959767174731711,0.959767174731711
1650,0.960065094190546,0.960065094190546
1660,0.96036742260435,0.96036742260435
1670,0.960665208188201,0.960665208188201
1680,0.960967676305097,0.960967676305097
1690,0.961255646398551,0.961255646398551
1700,0.961536513619908,0.961536513619908
1710,0.961806290208773,0.961806290208773
1720,0.962088718911756,0.962088718911756
1730,0.962352595253638,0.962352595253638
1740,0.962608312304452,0.962608312304452
1750,0.96286936543089,0.96286936543089
1760,0.963126644606271,0.963126644606271
1770,0.963365077569794,0.963365077569794
1780,0.96362239267138,0.96362239267138
1790,0.963873311996236,0.963873311996236
1800,0.964109327866895,0.964109327866895
1810,0.964352411792925,0.964352411792925
1820,0.964586120687807,0.964586120687807
1830,0.964828318390537,0.964828318390537
1840,0.9650633685843,0.9650633685843
1850,0.965315121312264,0.965315121312264
1860,0.965554884506759,0.965554884506759
1870,0.965787586048404,0.965787586048404
1880,0.966022877514155,0.966022877514155
1890,0.966259715549689,0.966259715549689
1900,0.966480877010422,0.966480877010422
1910,0.966702051602604,0.966702051602604
1920,0.966918571493248,0.966918571493248
1930,0.967134853743965,0.967134853743965
1940,0.967352555196771,0.967352555196771
1950,0.967572433855323,0.967572433855323
1960,0.967793191304238,0.967793191304238
1970,0.968016969551957,0.968016969551957
1980,0.968236468330088,0.968236468330088
1990,0.968459352174269,0.968459352174269
2000,0.968665490539372,0.968665490539372
2010,0.968871289632023,0.968871289632023
2020,0.969081245493988,0.969081245493988
2030,0.969290609015996,0.969290609015996
2040,0.96949478017886,0.96949478017886
2050,0.96970423652454,0.96970423652454
2060,0.969907979401087,0.969907979401087
2070,0.97011579681756,0.97011579681756
2080,0.970318457972766,0.970318457972766
2090,0.970530726550488,0.970530726550488
2100,0.970732192594424,0.970732192594424
2110,0.970932514008422,0.970932514008422
2120,0.971126220413113,0.971126220413113
2130,0.971319335635239,0.971319335635239
2140,0.97151453331091,0.97151453331091
2150,0.971709810221716,0.971709810221716
2160,0.971905718565792,0.971905718565792
2170,0.972093211523793,0.972093211523793
2180,0.972280796809028,0.972280796809028
2190,0.972469438258422,0.972469438258422
2200,0.972640060959012,0.972640060959012
2210,0.972821850973791,0.972821850973791
2220,0.973003149560061,0.973003149560061
2230,0.973183055283268,0.973183055283268
2240,0.973360004339807,0.973360004339807
2250,0.973536098945107,0.973536098945107
2260,0.973716053199276,0.973716053199276
2270,0.973897916516997,0.973897916516997
2280,0.974070612663289,0.974070612663289
2290,0.974240145201327,0.974240145201327
2300,0.974415947122317,0.974415947122317
2310,0.974590140849306,0.974590140849306
2320,0.974772480166051,0.974772480166051
2330,0.974944035709386,0.974944035709386
2340,0.975116667724892,0.975116667724892
2350,0.97529093569261,0.97529093569261
2360,0.975467747177611,0.975467747177611
2370,0.975641953604719,0.975641953604719
2380,0.975809598596989,0.975809598596989
2390,0.97598332041503,0.97598332041503
2400,0.97615527825056,0.97615527825056
2410,0.976325717975368,0.976325717975368
2420,0.976496207313293,0.976496207313293
2430,0.976668878067943,0.976668878067943
2440,0.97683866811705,0.97683866811705
2450,0.977011079655897,0.977011079655897
2460,0.977184155116576,0.977184155116576
2470,0.977360824921894,0.977360824921894
2480,0.977524859211815,0.977524859211815
2490,0.977691638575371,0.977691638575371
2500,0.977864248144913,0.977864248144913
2510,0.978038348608483,0.978038348608483
2520,0.978201329381582,0.978201329381582
2530,0.978362066393682,0.978362066393682
2540,0.978538162170727,0.978538162170727
2550,0.978705719581694,0.978705719581694
2560,0.978866386802009,0.978866386802009
2570,0.979028129438292,0.979028129438292
2580,0.979188297432779,0.979188297432779
2590,0.979351735233812,0.979351735233812
2600,0.979519100367421,0.979519100367421
2610,0.979682564677334,0.979682564677334
2620,0.979839298439269,0.979839298439269
2630,0.979999152038336,0.979999152038336
2640,0.980153251866071,0.980153251866071
2650,0.980306588918703,0.980306588918703
2660,0.98045396043197,0.98045396043197
2670,0.9806062085032,0.9806062085032
2680,0.98077549468427,0.98077549468427
2690,0.980933659563758,0.980933659563758
2700,0.981085929727939,0.981085929727939
2710,0.98123610253399,0.98123610253399
2720,0.981385768184095,0.981385768184095
2730,0.981546210705678,0.981546210705678
2740,0.981702083713149,0.981702083713149
2750,0.981856233768444,0.981856233768444
2760,0.982006393154894,0.982006393154894
2770,0.982152835946186,0.982152835946186
2780,0.982294306248628,0.982294306248628
2790,0.982439573130588,0.982439573130588
2800,0.982580875739352,0.982580875739352
2810,0.982719094620546,0.982719094620546
2820,0.982863312261298,0.982863312261298
2830,0.983006121571436,0.983006121571436
2840,0.983142206035192,0.983142206035192
2850,0.983284202958216,0.983284202958216
2860,0.983426073106136,0.983426073106136
2870,0.983571274990867,0.983571274990867
2880,0.983722831163212,0.983722831163212
2890,0.983869035369637,0.983869035369637
2900,0.984007931735397,0.984007931735397
2910,0.984152100942611,0.984152100942611
2920,0.984284833857981,0.984284833857981
2930,0.984415951689866,0.984415951689866
2940,0.98454928173755,0.98454928173755
2950,0.984682885272824,0.984682885272824
2960,0.984823510004009,0.984823510004009
2970,0.984962140583387,0.984962140583387
2980,0.985097736861542,0.985097736861542
2990,0.985240512788774,0.985240512788774
3000,0.985372818387109,0.985372818387109
3010,0.985508242727602,0.985508242727602
3020,0.985644985407859,0.985644985407859
3030,0.985802995948659,0.985802995948659
3040,0.98595320591778,0.98595320591778
3050,0.986098201995882,0.986098201995882
3060,0.986253424067935,0.986253424067935
3070,0.986418919749372,0.986418919749372
3080,0.98657167823409,0.98657167823409
3090,0.986707455925873,0.986707455925873
3100,0.986850151472534,0.986850151472534
3110,0.986988749952707,0.986988749952707
3120,0.987126890348403,0.987126890348403
3130,0.987259403252397,0.987259403252397
3140,0.987386563742947,0.987386563742947
3150,0.987532023573412,0.987532023573412
3160,0.987674156970024,0.987674156970024
3170,0.987813543976704,0.987813543976704
3180,0.987939413299572,0.987939413299572
3190,0.988070130619302,0.988070130619302
3200,0.988189415719237,0.988189415719237
3210,0.98831464451562,0.98831464451562
3220,0.988435872967444,0.988435872967444
3230,0.988559732438688,0.988559732438688
3240,0.988683748143177,0.988683748143177
3250,0.988795551196326,0.988795551196326
3260,0.988901914346597,0.988901914346597
3270,0.989000724823539,0.989000724823539
3280,0.989101066408008,0.989101066408008
3290,0.989204905290254,0.989204905290254
3300,0.989301039314647,0.989301039314647
3310,0.989402678955916,0.989402678955916
3320,0.98950343024134,0.98950343024134
3330,0.989600753055805,0.989600753055805
3340,0.989699699202597,0.989699699202597
3350,0.989795003145116,0.989795003145116
3360,0.989890973807568,0.989890973807568
3370,0.989988391719085,0.989988391719085
3380,0.990089488354109,0.990089488354109
3390,0.990187053946445,0.990187053946445
3400,0.990279992016822,0.990279992016822
3410,0.990377147108131,0.990377147108131
3420,0.990480557513043,0.990480557513043
3430,0.990589596342093,0.990589596342093
3440,0.99069188029878,0.99069188029878
3450,0.990789321707438,0.990789321707438
3460,0.990882050751914,0.990882050751914
3470,0.990984506482165,0.990984506482165
3480,0.991082749161728,0.991082749161728
3490,0.99118270176535,0.99118270176535
3500,0.991284406918927,0.991284406918927
3510,0.991381657079028,0.991381657079028
3520,0.991492349066688,0.991492349066688
3530,0.991609301442539,0.991609301442539
3540,0.991706224599061,0.991706224599061
3550,0.991801582891145,0.991801582891145
3560,0.99189535390891,0.99189535390891
3570,0.991986049668515,0.991986049668515
3580,0.992074340339713,0.992074340339713
3590,0.992167565510193,0.992167565510193
3600,0.992250363081415,0.992250363081415
3610,0.992333819174836,0.992333819174836
3620,0.992423392101396,0.992423392101396
3630,0.992511913811535,0.992511913811535
3640,0.992603302222997,0.992603302222997
3650,0.992705471655733,0.992705471655733
3660,0.992816786472622,0.992816786472622
3670,0.992915359426373,0.992915359426373
3680,0.993012807010795,0.993012807010795
3690,0.993118608161238,0.993118608161238
3700,0.993211642775915,0.993211642775915
3710,0.99330381890164,0.99330381890164
3720,0.993394029287638,0.993394029287638
3730,0.993480002493764,0.993480002493764
3740,0.993566545500479,0.993566545500479
3750,0.993650600581619,0.993650600581619
3760,0.993733223684494,0.993733223684494
3770,0.993809910224846,0.993809910224846
3780,0.993877757846114,0.993877757846114
3790,0.993942642621353,0.993942642621353
3800,0.993995217119646,0.993995217119646
3810,0.994056715685969,0.994056715685969
3820,0.994109427336791,0.994109427336791
3830,0.994156849646475,0.994156849646475
3840,0.994204352083554,0.994204352083554
3850,0.994254073685265,0.994254073685265
3860,0.994301618332625,0.994301618332625
3870,0.994347982538451,0.994347982538451
3880,0.994390218936584,0.994390218936584
3890,0.994436415331742,0.994436415331742
3900,0.994485528280168,0.994485528280168
3910,0.994528979018856,0.994528979018856
3920,0.994574237805478,0.994574237805478
3930,0.994620429865585,0.994620429865585
3940,0.994663081980089,0.994663081980089
3950,0.994705352933106,0.994705352933106
3960,0.994743791718499,0.994743791718499
3970,0.994783044035497,0.994783044035497
3980,0.994821776327873,0.994821776327873
3990,0.994863310569036,0.994863310569036
4000,0.994902647197136,0.994902647197136
4010,0.994943324944499,0.994943324944499
4020,0.99497747537007,0.99497747537007
4030,0.995013087008557,0.995013087008557
4040,0.995050356057757,0.995050356057757
4050,0.995087142379687,0.995087142379687
4060,0.995120168957044,0.995120168957044
4070,0.995157581954682,0.995157581954682
4080,0.995189274219323,0.995189274219323
4090,0.995217829752866,0.995217829752866
4100,0.995249205116069,0.995249205116069
4110,0.995281737818336,0.995281737818336
4120,0.995308711036366,0.995308711036366
4130,0.995340855833251,0.995340855833251
4140,0.995367860125198,0.995367860125198
4150,0.995398885671978,0.995398885671978
4160,0.995431595940165,0.995431595940165
4170,0.995459343249277,0.995459343249277
4180,0.995490142566791,0.995490142566791
4190,0.995519280651973,0.995519280651973
4200,0.995551420927856,0.995551420927856
4210,0.995582673062681,0.995582673062681
4220,0.995617319667566,0.995617319667566
4230,0.995652184310921,0.995652184310921
4240,0.99568314179536,0.99568314179536
4250,0.995713927522084,0.995713927522084
4260,0.995748146770158,0.995748146770158
4270,0.995779665649774,0.995779665649774
4280,0.995810588045361,0.995810588045361
4290,0.995846886637055,0.995846886637055
4300,0.995880918693274,0.995880918693274
4310,0.995914578083439,0.995914578083439
4320,0.995948753596702,0.995948753596702
4330,0.99598139954645,0.99598139954645
4340,0.996014437568264,0.996014437568264
4350,0.996046241753632,0.996046241753632
4360,0.996080736509586,0.996080736509586
4370,0.996115438829234,0.996115438829234
4380,0.996147893062008,0.996147893062008
4390,0.996185207060414,0.996185207060414
4400,0.996220679482707,0.996220679482707
4410,0.996261334174276,0.996261334174276
4420,0.996296033544703,0.996296033544703
4430,0.996326129740038,0.996326129740038
4440,0.996362850822968,0.996362850822968
4450,0.996396258014547,0.996396258014547
4460,0.996434179129227,0.996434179129227
4470,0.996473885270297,0.996473885270297
4480,0.996514595580677,0.996514595580677
4490,0.996555248447998,0.996555248447998
4500,0.996591020701547,0.996591020701547
4510,0.996628914136943,0.996628914136943
4520,0.996663260693388,0.996663260693388
4530,0.996704906842663,0.996704906842663
4540,0.996749410020476,0.996749410020476
4550,0.996789471585266,0.996789471585266
4560,0.99683377393802,0.99683377393802
4570,0.996875589653944,0.996875589653944
4580,0.996916982290527,0.996916982290527
4590,0.996956558305831,0.996956558305831
4600,0.996991740540077,0.996991740540077
4610,0.997031616875341,0.997031616875341
4620,0.997071038092142,0.997071038092142
4630,0.997114844365517,0.997114844365517
4640,0.997152616784339,0.997152616784339
4650,0.997194000097756,0.997194000097756
4660,0.99723140120649,0.99723140120649
4670,0.99726978576815,0.99726978576815
4680,0.997310985308186,0.997310985308186
4690,0.99735276842917,0.99735276842917
4700,0.99739425498852,0.99739425498852
4710,0.997435427089424,0.997435427089424
4720,0.997483532055575,0.997483532055575
4730,0.99752428232789,0.99752428232789
4740,0.997567783843956,0.997567783843956
4750,0.997606603978112,0.997606603978112
4760,0.997646024367425,0.997646024367425
4770,0.997687017830033,0.997687017830033
4780,0.997722668199111,0.997722668199111
4790,0.997761590869913,0.997761590869913
4800,0.997798531851213,0.997798531851213
4810,0.997839507864948,0.997839507864948
4820,0.997879645248921,0.997879645248921
4830,0.99791982057132,0.99791982057132
4840,0.997963820774833,0.997963820774833
4850,0.998007171329733,0.998007171329733
4860,0.998050175053443,0.998050175053443
4870,0.998090088841962,0.998090088841962
4880,0.99813332163475,0.99813332163475
4890,0.998178137763393,0.998178137763393
4900,0.998218019623237,0.998218019623237
4910,0.998260828678489,0.998260828678489
4920,0.998306225373939,0.998306225373939
4930,0.998349866014899,0.998349866014899
4940,0.998393471347524,0.998393471347524
4950,0.998438629322674,0.998438629322674
4960,0.998481501594039,0.998481501594039
4970,0.998524420163598,0.998524420163598
4980,0.998566676678626,0.998566676678626
4990,0.998606931066992,0.998606931066992
5000,0.99865060449271,0.99865060449271
5010,0.998688790985936,0.998688790985936
5020,0.998731611390081,0.998731611390081
5030,0.998769816075363,0.998769816075363
5040,0.998806879997236,0.998806879997236
5050,0.998844724981125,0.998844724981125
5060,0.998877884464799,0.998877884464799
5070,0.99891632349604,0.99891632349604
5080,0.998952541034796,0.998952541034796
5090,0.99898410570654,0.99898410570654
5100,0.999019473471911,0.999019473471911
5110,0.999055735579509,0.999055735579509
5120,0.999088424820759,0.999088424820759
5130,0.999119615142163,0.999119615142163
5140,0.999151804370924,0.999151804370924
5150,0.999179388054273,0.999179388054273
5160,0.999209382169126,0.999209382169126
5170,0.999235253209278,0.999235253209278
5180,0.99926435601553,0.99926435601553
5190,0.999289336113637,0.999289336113637
5200,0.99931545652629,0.99931545652629
5210,0.999341063737617,0.999341063737617
5220,0.999368286134241,0.999368286134241
5230,0.999391678374434,0.999391678374434
5240,0.999416118251551,0.999416118251551
5250,0.999439163706985,0.999439163706985
5260,0.999459337573961,0.999459337573961
5270,0.999480673882442,0.999480673882442
5280,0.999500230976625,0.999500230976625
5290,0.999518115087162,0.999518115087162
5300,0.9995337941021,0.9995337941021
5310,0.999550058151598,0.999550058151598
5320,0.999566647625192,0.999566647625192
5330,0.999584256007344,0.999584256007344
5340,0.999599447306138,0.999599447306138
5350,0.999616938993065,0.999616938993065
5360,0.99963215858272,0.99963215858272
5370,0.999644979833748,0.999644979833748
5380,0.999658344940407,0.999658344940407
5390,0.999672730183889,0.999672730183889
5400,0.99968497397211,0.99968497397211
5410,0.999698528781227,0.999698528781227
5420,0.999713622582019,0.999713622582019
5430,0.999723784799518,0.999723784799518
5440,0.999737075114828,0.999737075114828
5450,0.999747919801943,0.999747919801943
5460,0.999756853031807,0.999756853031807
5470,0.999765392408863,0.999765392408863
5480,0.999777755779762,0.999777755779762
5490,0.999787334253232,0.999787334253232
5500,0.999797168728274,0.999797168728274
5510,0.999804461210265,0.999804461210265
5520,0.999814408141864,0.999814408141864
5530,0.999822521447765,0.999822521447765
5540,0.999829520920671,0.999829520920671
5550,0.999834920300672,0.999834920300672
5560,0.999842391250982,0.999842391250982
5570,0.999851086618172,0.999851086618172
5580,0.999857201987115,0.999857201987115
5590,0.999864357871056,0.999864357871056
5600,0.999870206914012,0.999870206914012
5610,0.999876317232804,0.999876317232804
5620,0.999882612270417,0.999882612270417
5630,0.999887539872923,0.999887539872923
5640,0.999892450656551,0.999892450656551
5650,0.99989752649411,0.99989752649411
5660,0.999903206131815,0.999903206131815
5670,0.999907533338604,0.999907533338604
5680,0.99991336260172,0.99991336260172
5690,0.999917991470925,0.999917991470925
5700,0.999922633439849,0.999922633439849
5710,0.999925792325119,0.999925792325119
5720,0.999929868627821,0.999929868627821
5730,0.999934426833464,0.999934426833464
5740,0.999938877564435,0.999938877564435
5750,0.999942888716102,0.999942888716102
5760,0.999946883414851,0.999946883414851
5770,0.999949440545702,0.999949440545702
5780,0.999952432726098,0.999952432726098
5790,0.999955690883228,0.999955690883228
5800,0.999958522536348,0.999958522536348
5810,0.999960463360955,0.999960463360955
5820,0.999962724151388,0.999962724151388
5830,0.999964343258044,0.999964343258044
5840,0.999966422102163,0.999966422102163
5850,0.999968078014902,0.999968078014902
5860,0.999969992252286,0.999969992252286
5870,0.999971787259137,0.999971787259137
5880,0.999972960129502,0.999972960129502
5890,0.999974321965916,0.999974321965916
5900,0.999975377900676,0.999975377900676
5910,0.999976574742288,0.999976574742288
5920,0.999977017763869,0.999977017763869
5930,0.999978360783529,0.999978360783529
5940,0.999978949629554,0.999978949629554
5950,0.999979545773429,0.999979545773429
5960,0.999980570942545,0.999980570942545
5970,0.999981624891224,0.999981624891224
5980,0.99998253532906,0.99998253532906
5990,0.999983271031437,0.999983271031437
6000,0.999983716309562,0.999983716309562
6010,0.999984150985,0.999984150985
6020,0.999984893408245,0.999984893408245
6030,0.999985636791449,0.999985636791449
6040,0.999986669982875,0.999986669982875
6050,0.999987421308263,0.999987421308263
6060,0.99998800444215,0.99998800444215
6070,0.999989028589835,0.999989028589835
6080,0.99998945967488,0.99998945967488
6090,0.999989893022765,0.999989893022765
6100,0.999990357632133,0.999990357632133
6110,0.999990966291316,0.999990966291316
6120,0.999991846302384,0.999991846302384
6130,0.999992139003653,0.999992139003653
6140,0.999992889090222,0.999992889090222
6150,0.999993189187864,0.999993189187864
6160,0.999993489778919,0.999993489778919
6170,0.999993920993618,0.999993920993618
6180,0.999994065643011,0.999994065643011
6190,0.999994374021795,0.999994374021795
6200,0.999994818206957,0.999994818206957
6210,0.999994818206957,0.999994818206957
6220,0.99999524740609,0.99999524740609
6230,0.999995391905637,0.999995391905637
6240,0.999995680152772,0.999995680152772
6250,0.999995980347328,0.999995980347328
6260,0.999996135971396,0.999996135971396
6270,0.99999644672085,0.99999644672085
6280,0.999996747065858,0.999996747065858
6290,0.999997035463446,0.999997035463446
6300,0.999997035463446,0.999997035463446
6310,0.999997191705102,0.999997191705102
6320,0.999997480704196,0.999997480704196
6330,0.999997624601328,0.999997624601328
6340,0.999997925619447,0.999997925619447
6350,0.999998213260535,0.999998213260535
6360,0.999998355784574,0.999998355784574
6370,0.999998500133972,0.999998500133972
6380,0.999998642811778,0.999998642811778
6390,0.999998642811778,0.999998642811778
6400,0.999998642811778,0.999998642811778
6410,0.999998642811778,0.999998642811778
6420,0.999998642811778,0.999998642811778
6430,0.999998785643053,0.999998785643053
6440,0.999998785643053,0.999998785643053
6450,0.999998785643053,0.999998785643053
6460,0.999998785643053,0.999998785643053
6470,0.999998785643053,0.999998785643053
